rule,priority_score,recommended_phase,in_upstream,registered_locally,local_go_rule_dir_exists,has_go_test,missing_js_files,js_errs_local,js_errs_upstream,js_lines_local,js_lines_upstream,js_outputs_local,js_outputs_upstream,js_suggestions_local,js_suggestions_upstream,js_skip_delta,go_skip_count,todo_fixme_count,flags,upstream_rule_file,local_go_impl_files,local_go_test_files,local_js_test_files
no-this-alias,0,aligned,True,True,True,True,,6,6,125,122,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-this-alias.ts,internal/plugins/typescript/rules/no_this_alias/no_this_alias.go,internal/plugins/typescript/rules/no_this_alias/no_this_alias_test.go,no-this-alias.test.ts
no-type-alias,0,aligned,True,True,True,True,,127,127,3460,3461,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-type-alias.ts,internal/plugins/typescript/rules/no_type_alias/no_type_alias.go,internal/plugins/typescript/rules/no_type_alias/no_type_alias_test.go,no-type-alias.test.ts
no-unnecessary-boolean-literal-compare,0,aligned,True,True,True,True,,28,28,624,618,27,27,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-unnecessary-boolean-literal-compare.ts,internal/plugins/typescript/rules/no_unnecessary_boolean_literal_compare/no_unnecessary_boolean_literal_compare.go,internal/plugins/typescript/rules/no_unnecessary_boolean_literal_compare/no_unnecessary_boolean_literal_compare_test.go,no-unnecessary-boolean-literal-compare.test.ts
no-unnecessary-parameter-property-assignment,0,aligned,True,True,True,True,,17,17,477,478,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-unnecessary-parameter-property-assignment.ts,internal/plugins/typescript/rules/no_unnecessary_parameter_property_assignment/no_unnecessary_parameter_property_assignment.go,internal/plugins/typescript/rules/no_unnecessary_parameter_property_assignment/no_unnecessary_parameter_property_assignment_test.go,no-unnecessary-parameter-property-assignment.test.ts
no-unsafe-call,0,aligned,True,True,True,True,,21,24,427,469,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-unsafe-call.ts,internal/plugins/typescript/rules/no_unsafe_call/no_unsafe_call.go,internal/plugins/typescript/rules/no_unsafe_call/no_unsafe_call_test.go,no-unsafe-call.test.ts
no-unsafe-declaration-merging,0,aligned,True,True,True,True,,3,3,114,106,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-unsafe-declaration-merging.ts,internal/plugins/typescript/rules/no_unsafe_declaration_merging/no_unsafe_declaration_merging.go,internal/plugins/typescript/rules/no_unsafe_declaration_merging/no_unsafe_declaration_merging_test.go,no-unsafe-declaration-merging.test.ts
no-unsafe-function-type,0,aligned,True,True,True,True,,5,5,81,82,5,5,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-unsafe-function-type.ts,internal/plugins/typescript/rules/no_unsafe_function_type/no_unsafe_function_type.go,internal/plugins/typescript/rules/no_unsafe_function_type/no_unsafe_function_type_test.go,no-unsafe-function-type.test.ts
no-unsafe-return,0,aligned,True,True,True,True,,32,32,726,727,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-unsafe-return.ts,internal/plugins/typescript/rules/no_unsafe_return/no_unsafe_return.go,internal/plugins/typescript/rules/no_unsafe_return/no_unsafe_return_test.go,no-unsafe-return.test.ts
no-unsafe-type-assertion,0,aligned,True,True,True,True,,62,62,1363,1355,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-unsafe-type-assertion.ts,internal/plugins/typescript/rules/no_unsafe_type_assertion/no_unsafe_type_assertion.go,internal/plugins/typescript/rules/no_unsafe_type_assertion/no_unsafe_type_assertion_test.go,no-unsafe-type-assertion.test.ts
no-unsafe-unary-minus,0,aligned,True,True,True,True,,9,9,43,35,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-unsafe-unary-minus.ts,internal/plugins/typescript/rules/no_unsafe_unary_minus/no_unsafe_unary_minus.go,internal/plugins/typescript/rules/no_unsafe_unary_minus/no_unsafe_unary_minus_test.go,no-unsafe-unary-minus.test.ts
